external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/4xFUf1FHVy696Q1JQZMTRj'},"{'href': None, 'total': 5923354}","['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'country road', 'dance pop', 'pop']",https://api.spotify.com/v1/artists/4xFUf1FHVy696Q1JQZMTRj,4xFUf1FHVy696Q1JQZMTRj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc1c077c305eb4b2bcac25fd5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c1c077c305eb4b2bcac25fd5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c1c077c305eb4b2bcac25fd5', 'width': 160}]",Carrie Underwood,69,artist,spotify:artist:4xFUf1FHVy696Q1JQZMTRj
{'spotify': 'https://open.spotify.com/artist/15Y1yUEchPPl4w20CLvFyb'},"{'href': None, 'total': 20979}",[],https://api.spotify.com/v1/artists/15Y1yUEchPPl4w20CLvFyb,15Y1yUEchPPl4w20CLvFyb,"[{'height': 1000, 'url': 'https://i.scdn.co/image/e49f1e1bb438a866472e97dc2087c87afdc9e5c0', 'width': 1000}, {'height': 640, 'url': 'https://i.scdn.co/image/75cc90647172f0fc150cff18bcf5d640ecbd705d', 'width': 640}, {'height': 200, 'url': 'https://i.scdn.co/image/b2f2a8bd6c41841af9aaa3e7515327f2be9e3354', 'width': 200}, {'height': 64, 'url': 'https://i.scdn.co/image/30849dbc9fb47bc55a772eb771c37ba5590be901', 'width': 64}]",Baby Boy Da Prince,38,artist,spotify:artist:15Y1yUEchPPl4w20CLvFyb
{'spotify': 'https://open.spotify.com/artist/3ScY9CQxNLQei8Umvpx5g6'},"{'href': None, 'total': 1720098}","['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/3ScY9CQxNLQei8Umvpx5g6,3ScY9CQxNLQei8Umvpx5g6,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd70f26b0b92a72cb46303393', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d70f26b0b92a72cb46303393', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d70f26b0b92a72cb46303393', 'width': 160}]",Fat Joe,65,artist,spotify:artist:3ScY9CQxNLQei8Umvpx5g6
{'spotify': 'https://open.spotify.com/artist/3hv9jJF3adDNsBSIQDqcjp'},"{'href': None, 'total': 1050819}",['pop soul'],https://api.spotify.com/v1/artists/3hv9jJF3adDNsBSIQDqcjp,3hv9jJF3adDNsBSIQDqcjp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb105cc9628c315b29d299fbb4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174105cc9628c315b29d299fbb4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178105cc9628c315b29d299fbb4', 'width': 160}]",Mark Ronson,71,artist,spotify:artist:3hv9jJF3adDNsBSIQDqcjp
{'spotify': 'https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ'},"{'href': None, 'total': 2693171}","['dance pop', 'pop', 'pop rap']",https://api.spotify.com/v1/artists/5Y5TRrQiqgUO4S36tzjIRZ,5Y5TRrQiqgUO4S36tzjIRZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb2ec030557b0529c01639529b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051742ec030557b0529c01639529b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1782ec030557b0529c01639529b', 'width': 160}]",Timbaland,75,artist,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ
{'spotify': 'https://open.spotify.com/artist/6S0dmVVn4udvppDhZIWxCr'},"{'href': None, 'total': 3213700}","['dance pop', 'miami hip hop', 'pop']",https://api.spotify.com/v1/artists/6S0dmVVn4udvppDhZIWxCr,6S0dmVVn4udvppDhZIWxCr,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebee205e5029a04bd0460e16e4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ee205e5029a04bd0460e16e4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ee205e5029a04bd0460e16e4', 'width': 160}]",Sean Kingston,67,artist,spotify:artist:6S0dmVVn4udvppDhZIWxCr
{'spotify': 'https://open.spotify.com/artist/4am1I89OWXUzFh4ctRLkdd'},"{'href': None, 'total': 122695}",['idol'],https://api.spotify.com/v1/artists/4am1I89OWXUzFh4ctRLkdd,4am1I89OWXUzFh4ctRLkdd,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf798b04d91c7d57528a2d1bb', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f798b04d91c7d57528a2d1bb', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f798b04d91c7d57528a2d1bb', 'width': 160}]",Elliott Yamin,40,artist,spotify:artist:4am1I89OWXUzFh4ctRLkdd
{'spotify': 'https://open.spotify.com/artist/1vfezMIyCr4XUdYRaKIKi3'},"{'href': None, 'total': 3746702}","['hip pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/1vfezMIyCr4XUdYRaKIKi3,1vfezMIyCr4XUdYRaKIKi3,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1ab13fdacbb8017ec4087ca9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741ab13fdacbb8017ec4087ca9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781ab13fdacbb8017ec4087ca9', 'width': 160}]",Keyshia Cole,67,artist,spotify:artist:1vfezMIyCr4XUdYRaKIKi3
{'spotify': 'https://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV'},"{'href': None, 'total': 4141009}",['dance pop'],https://api.spotify.com/v1/artists/0z4gvV4rjIZ9wHck67ucSV,0z4gvV4rjIZ9wHck67ucSV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb14020d1e8b482b6e1c5e720d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517414020d1e8b482b6e1c5e720d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17814020d1e8b482b6e1c5e720d', 'width': 160}]",Akon,78,artist,spotify:artist:0z4gvV4rjIZ9wHck67ucSV
{'spotify': 'https://open.spotify.com/artist/5Z1CCuBsyhEHngq3U5IraY'},"{'href': None, 'total': 3972333}",['boy band'],https://api.spotify.com/v1/artists/5Z1CCuBsyhEHngq3U5IraY,5Z1CCuBsyhEHngq3U5IraY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebceead049d538f0b5087041dd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ceead049d538f0b5087041dd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ceead049d538f0b5087041dd', 'width': 160}]",Westlife,67,artist,spotify:artist:5Z1CCuBsyhEHngq3U5IraY
