external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/2txHhyCwHjUEpJjWrEyqyX'},"{'href': None, 'total': 3588276}",['chill pop'],https://api.spotify.com/v1/artists/2txHhyCwHjUEpJjWrEyqyX,2txHhyCwHjUEpJjWrEyqyX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb532e8dd8ba9fbd5e78105a78', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174532e8dd8ba9fbd5e78105a78', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178532e8dd8ba9fbd5e78105a78', 'width': 160}]",Tom Odell,75,artist,spotify:artist:2txHhyCwHjUEpJjWrEyqyX
{'spotify': 'https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7'},"{'href': None, 'total': 13528408}","['dance pop', 'pop']",https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,31TPClRtHm23RisEBtV3X7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9d3f9efc8e0030306e583cef', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749d3f9efc8e0030306e583cef', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789d3f9efc8e0030306e583cef', 'width': 160}]",Justin Timberlake,78,artist,spotify:artist:31TPClRtHm23RisEBtV3X7
{'spotify': 'https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865'},"{'href': None, 'total': 14302786}","['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/55Aa2cqylxrFIXC767Z865,55Aa2cqylxrFIXC767Z865,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc1c08e541eae3cc82c6988c4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c1c08e541eae3cc82c6988c4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c1c08e541eae3cc82c6988c4', 'width': 160}]",Lil Wayne,84,artist,spotify:artist:55Aa2cqylxrFIXC767Z865
{'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'},"{'href': None, 'total': 12413950}","['indietronica', 'metropopolis', 'pop', 'uk pop']",https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ,0X2BH1fck6amBIoJhDVmmJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c3cd7dc428871e8985d62b9a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c3cd7dc428871e8985d62b9a', 'width': 160}]",Ellie Goulding,77,artist,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
{'spotify': 'https://open.spotify.com/artist/34v5MVKeQnIo0CWYMbbrPf'},"{'href': None, 'total': 722635}",['dance pop'],https://api.spotify.com/v1/artists/34v5MVKeQnIo0CWYMbbrPf,34v5MVKeQnIo0CWYMbbrPf,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4eaf903c2b9df9217dafeba8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744eaf903c2b9df9217dafeba8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784eaf903c2b9df9217dafeba8', 'width': 160}]",John Newman,66,artist,spotify:artist:34v5MVKeQnIo0CWYMbbrPf
{'spotify': 'https://open.spotify.com/artist/1bT7m67vi78r2oqvxrP3X5'},"{'href': None, 'total': 337826}",['uk contemporary r&b'],https://api.spotify.com/v1/artists/1bT7m67vi78r2oqvxrP3X5,1bT7m67vi78r2oqvxrP3X5,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcbcd26e15c2a43b920871ac5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cbcd26e15c2a43b920871ac5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cbcd26e15c2a43b920871ac5', 'width': 160}]",Naughty Boy,59,artist,spotify:artist:1bT7m67vi78r2oqvxrP3X5
{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 94563998}",['pop'],https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174859e4c14fa59296c8649e0e4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178859e4c14fa59296c8649e0e4', 'width': 160}]",Taylor Swift,100,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
{'spotify': 'https://open.spotify.com/artist/2NdeV5rLm47xAvogXrYhJX'},"{'href': None, 'total': 6416082}","['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/2NdeV5rLm47xAvogXrYhJX,2NdeV5rLm47xAvogXrYhJX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb90e3fd86189f24d3f7dcb399', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517490e3fd86189f24d3f7dcb399', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17890e3fd86189f24d3f7dcb399', 'width': 160}]",Ciara,68,artist,spotify:artist:2NdeV5rLm47xAvogXrYhJX
{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},"{'href': None, 'total': 22359635}","['chicago rap', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174867008a971fae0f4d913f63a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178867008a971fae0f4d913f63a', 'width': 160}]",Kanye West,89,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
{'spotify': 'https://open.spotify.com/artist/085pc2PYOi8bGKj0PNjekA'},"{'href': None, 'total': 4160654}","['dance pop', 'pop']",https://api.spotify.com/v1/artists/085pc2PYOi8bGKj0PNjekA,085pc2PYOi8bGKj0PNjekA,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc9ab8da6f7a3ce02f0b16fd8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c9ab8da6f7a3ce02f0b16fd8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c9ab8da6f7a3ce02f0b16fd8', 'width': 160}]",will.i.am,70,artist,spotify:artist:085pc2PYOi8bGKj0PNjekA
