external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/78rUTD7y6Cy67W1RVzYs7t'},"{'href': None, 'total': 2681799}",['bedroom pop'],https://api.spotify.com/v1/artists/78rUTD7y6Cy67W1RVzYs7t,78rUTD7y6Cy67W1RVzYs7t,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb90ddbcd825c7b6142d269e26', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517490ddbcd825c7b6142d269e26', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17890ddbcd825c7b6142d269e26', 'width': 160}]",PinkPantheress,76,artist,spotify:artist:78rUTD7y6Cy67W1RVzYs7t
{'spotify': 'https://open.spotify.com/artist/2RQXRUsr4IW1f3mKyKsy4B'},"{'href': None, 'total': 1670893}",['pov: indie'],https://api.spotify.com/v1/artists/2RQXRUsr4IW1f3mKyKsy4B,2RQXRUsr4IW1f3mKyKsy4B,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7bfba04955b666b8b8219541', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747bfba04955b666b8b8219541', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787bfba04955b666b8b8219541', 'width': 160}]",Noah Kahan,83,artist,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B
{'spotify': 'https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d'},"{'href': None, 'total': 6348352}","['k-pop', 'k-pop girl group']",https://api.spotify.com/v1/artists/6HvZYsbFfjnjFrWF950C9d,6HvZYsbFfjnjFrWF950C9d,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5da361915b1fa48895d4f23f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745da361915b1fa48895d4f23f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785da361915b1fa48895d4f23f', 'width': 160}]",NewJeans,80,artist,spotify:artist:6HvZYsbFfjnjFrWF950C9d
{'spotify': 'https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH'},"{'href': None, 'total': 89468260}","['art pop', 'pop']",https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d8b9980db67272cb4d2c3daf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d8b9980db67272cb4d2c3daf', 'width': 160}]",Billie Eilish,86,artist,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 94563998}",['pop'],https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174859e4c14fa59296c8649e0e4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178859e4c14fa59296c8649e0e4', 'width': 160}]",Taylor Swift,100,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
{'spotify': 'https://open.spotify.com/artist/2feDdbD5araYcm6JhFHHw7'},"{'href': None, 'total': 3107846}","['indie poptimism', 'pop']",https://api.spotify.com/v1/artists/2feDdbD5araYcm6JhFHHw7,2feDdbD5araYcm6JhFHHw7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7885d725841e0338092f5f6f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747885d725841e0338092f5f6f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787885d725841e0338092f5f6f', 'width': 160}]",Labrinth,76,artist,spotify:artist:2feDdbD5araYcm6JhFHHw7
{'spotify': 'https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp'},"{'href': None, 'total': 6233297}",['rap'],https://api.spotify.com/v1/artists/0iEtIxbK0KxaSlF7G42ZOp,0iEtIxbK0KxaSlF7G42ZOp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdf9a1555f53a20087b8c5a5c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174df9a1555f53a20087b8c5a5c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178df9a1555f53a20087b8c5a5c', 'width': 160}]",Metro Boomin,85,artist,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
{'spotify': 'https://open.spotify.com/artist/7MmewOfNotqLLNt48TelbK'},"{'href': None, 'total': 1703}",[],https://api.spotify.com/v1/artists/7MmewOfNotqLLNt48TelbK,7MmewOfNotqLLNt48TelbK,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb07470bce5c7936ee740de6ad', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517407470bce5c7936ee740de6ad', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17807470bce5c7936ee740de6ad', 'width': 160}]",Arya,27,artist,spotify:artist:7MmewOfNotqLLNt48TelbK
{'spotify': 'https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X'},"{'href': None, 'total': 77415869}","['reggaeton', 'trap latino', 'urbano latino']",https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X,4q3ewBCX7sLwd24euuV69X,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9ad50e478a469448c6f369df', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749ad50e478a469448c6f369df', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789ad50e478a469448c6f369df', 'width': 160}]",Bad Bunny,95,artist,spotify:artist:4q3ewBCX7sLwd24euuV69X
{'spotify': 'https://open.spotify.com/artist/619CzMJPPWrCeZwx5qw6ko'},"{'href': None, 'total': 119813}","['alt z', 'dark r&b', 'slap house', 'traprun']",https://api.spotify.com/v1/artists/619CzMJPPWrCeZwx5qw6ko,619CzMJPPWrCeZwx5qw6ko,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0b5a44746075773ac3cf680d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740b5a44746075773ac3cf680d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780b5a44746075773ac3cf680d', 'width': 160}]",Besomorph,59,artist,spotify:artist:619CzMJPPWrCeZwx5qw6ko
