external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/2NhdGz9EDv2FeUw6udu2g1'},"{'href': None, 'total': 2642425}","['boy band', 'dance pop', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/2NhdGz9EDv2FeUw6udu2g1,2NhdGz9EDv2FeUw6udu2g1,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd34d138ebcda9fca6716e70c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d34d138ebcda9fca6716e70c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d34d138ebcda9fca6716e70c', 'width': 160}]",The Wanted,62,artist,spotify:artist:2NhdGz9EDv2FeUw6udu2g1
{'spotify': 'https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj'},"{'href': None, 'total': 8469833}","['dance pop', 'pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,21E3waRsmPlU7jZsS13rcj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ca118e3822061f7b7f6bc537', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ca118e3822061f7b7f6bc537', 'width': 160}]",Ne-Yo,77,artist,spotify:artist:21E3waRsmPlU7jZsS13rcj
{'spotify': 'https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ'},"{'href': None, 'total': 12413950}","['indietronica', 'metropopolis', 'pop', 'uk pop']",https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ,0X2BH1fck6amBIoJhDVmmJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c3cd7dc428871e8985d62b9a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c3cd7dc428871e8985d62b9a', 'width': 160}]",Ellie Goulding,77,artist,spotify:artist:0X2BH1fck6amBIoJhDVmmJ
{'spotify': 'https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz'},"{'href': None, 'total': 24879247}","['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz,6XyY86QOPPrYVGvF9ch6wz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb811da3b2e7c9e5a9c1a6c4f7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174811da3b2e7c9e5a9c1a6c4f7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178811da3b2e7c9e5a9c1a6c4f7', 'width': 160}]",Linkin Park,83,artist,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
{'spotify': 'https://open.spotify.com/artist/7t51dSX8ZkKC7VoKRd0lME'},"{'href': None, 'total': 358287}","['israeli pop', 'israeli rock']",https://api.spotify.com/v1/artists/7t51dSX8ZkKC7VoKRd0lME,7t51dSX8ZkKC7VoKRd0lME,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd688b2c2ee3beecf1dc72679', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d688b2c2ee3beecf1dc72679', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d688b2c2ee3beecf1dc72679', 'width': 160}]",Asaf Avidan,56,artist,spotify:artist:7t51dSX8ZkKC7VoKRd0lME
{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 94563998}",['pop'],https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174859e4c14fa59296c8649e0e4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178859e4c14fa59296c8649e0e4', 'width': 160}]",Taylor Swift,100,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
{'spotify': 'https://open.spotify.com/artist/2feDdbD5araYcm6JhFHHw7'},"{'href': None, 'total': 3107846}","['indie poptimism', 'pop']",https://api.spotify.com/v1/artists/2feDdbD5araYcm6JhFHHw7,2feDdbD5araYcm6JhFHHw7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7885d725841e0338092f5f6f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747885d725841e0338092f5f6f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787885d725841e0338092f5f6f', 'width': 160}]",Labrinth,76,artist,spotify:artist:2feDdbD5araYcm6JhFHHw7
{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},"{'href': None, 'total': 22359635}","['chicago rap', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174867008a971fae0f4d913f63a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178867008a971fae0f4d913f63a', 'width': 160}]",Kanye West,89,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
{'spotify': 'https://open.spotify.com/artist/01QTIT5P1pFP3QnnFSdsJf'},"{'href': None, 'total': 1892979}","['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",https://api.spotify.com/v1/artists/01QTIT5P1pFP3QnnFSdsJf,01QTIT5P1pFP3QnnFSdsJf,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb17e0a43f3aaa0c48410c4b68', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517417e0a43f3aaa0c48410c4b68', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17817e0a43f3aaa0c48410c4b68', 'width': 160}]",Lupe Fiasco,64,artist,spotify:artist:01QTIT5P1pFP3QnnFSdsJf
{'spotify': 'https://open.spotify.com/artist/3BmGtnKgCSGYIUhmivXKWX'},"{'href': None, 'total': 10307465}","['dance pop', 'pop', 'talent show']",https://api.spotify.com/v1/artists/3BmGtnKgCSGYIUhmivXKWX,3BmGtnKgCSGYIUhmivXKWX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb305a7cc6760b53a67aaae19d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174305a7cc6760b53a67aaae19d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178305a7cc6760b53a67aaae19d', 'width': 160}]",Kelly Clarkson,76,artist,spotify:artist:3BmGtnKgCSGYIUhmivXKWX
