external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj'},"{'href': None, 'total': 8469833}","['dance pop', 'pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,21E3waRsmPlU7jZsS13rcj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ca118e3822061f7b7f6bc537', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ca118e3822061f7b7f6bc537', 'width': 160}]",Ne-Yo,77,artist,spotify:artist:21E3waRsmPlU7jZsS13rcj
{'spotify': 'https://open.spotify.com/artist/1W3FSF1BLpY3hlVIgvenLz'},"{'href': None, 'total': 1280932}","['dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",https://api.spotify.com/v1/artists/1W3FSF1BLpY3hlVIgvenLz,1W3FSF1BLpY3hlVIgvenLz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba01ad0bea0957a2e3b7c3ced', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a01ad0bea0957a2e3b7c3ced', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a01ad0bea0957a2e3b7c3ced', 'width': 160}]",The-Dream,61,artist,spotify:artist:1W3FSF1BLpY3hlVIgvenLz
{'spotify': 'https://open.spotify.com/artist/0YWxKQj2Go9CGHCp77UOyy'},"{'href': None, 'total': 2676281}","['gangster rap', 'hip hop', 'pop rap', 'rap', 'trap', 'urban contemporary']",https://api.spotify.com/v1/artists/0YWxKQj2Go9CGHCp77UOyy,0YWxKQj2Go9CGHCp77UOyy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebece5603bef9fa046ef9a178c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ece5603bef9fa046ef9a178c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ece5603bef9fa046ef9a178c', 'width': 160}]",Fabolous,64,artist,spotify:artist:0YWxKQj2Go9CGHCp77UOyy
{'spotify': 'https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz'},"{'href': None, 'total': 24879247}","['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz,6XyY86QOPPrYVGvF9ch6wz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb811da3b2e7c9e5a9c1a6c4f7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174811da3b2e7c9e5a9c1a6c4f7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178811da3b2e7c9e5a9c1a6c4f7', 'width': 160}]",Linkin Park,83,artist,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
{'spotify': 'https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms'},"{'href': None, 'total': 28649485}","['art pop', 'dance pop', 'pop']",https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc8d3d98a1bccbe71393dbfbf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c8d3d98a1bccbe71393dbfbf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c8d3d98a1bccbe71393dbfbf', 'width': 160}]",Lady Gaga,82,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms
{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 94563998}",['pop'],https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb859e4c14fa59296c8649e0e4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174859e4c14fa59296c8649e0e4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178859e4c14fa59296c8649e0e4', 'width': 160}]",Taylor Swift,100,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},"{'href': None, 'total': 22359635}","['chicago rap', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174867008a971fae0f4d913f63a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178867008a971fae0f4d913f63a', 'width': 160}]",Kanye West,89,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
{'spotify': 'https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp'},"{'href': None, 'total': 32271379}","['colombian pop', 'dance pop', 'latin pop', 'pop']",https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp,0EmeFodog0BfCgMzAIvKQp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb284894d68fe2f80cad555110', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174284894d68fe2f80cad555110', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178284894d68fe2f80cad555110', 'width': 160}]",Shakira,84,artist,spotify:artist:0EmeFodog0BfCgMzAIvKQp
{'spotify': 'https://open.spotify.com/artist/3BmGtnKgCSGYIUhmivXKWX'},"{'href': None, 'total': 10307465}","['dance pop', 'pop', 'talent show']",https://api.spotify.com/v1/artists/3BmGtnKgCSGYIUhmivXKWX,3BmGtnKgCSGYIUhmivXKWX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb305a7cc6760b53a67aaae19d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174305a7cc6760b53a67aaae19d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178305a7cc6760b53a67aaae19d', 'width': 160}]",Kelly Clarkson,76,artist,spotify:artist:3BmGtnKgCSGYIUhmivXKWX
{'spotify': 'https://open.spotify.com/artist/3iOvXCl6edW5Um0fXEBRXy'},"{'href': None, 'total': 3885276}","['downtempo', 'dream pop', 'indietronica']",https://api.spotify.com/v1/artists/3iOvXCl6edW5Um0fXEBRXy,3iOvXCl6edW5Um0fXEBRXy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb193bce41687d1869f8c7593f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174193bce41687d1869f8c7593f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178193bce41687d1869f8c7593f', 'width': 160}]",The xx,64,artist,spotify:artist:3iOvXCl6edW5Um0fXEBRXy
{'spotify': 'https://open.spotify.com/artist/1moxjboGR7GNWYIMWsRjgG'},"{'href': None, 'total': 6591150}","['baroque pop', 'electropop', 'modern rock', 'uk alternative pop']",https://api.spotify.com/v1/artists/1moxjboGR7GNWYIMWsRjgG,1moxjboGR7GNWYIMWsRjgG,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe3c37f869b830d1cf1ec829a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e3c37f869b830d1cf1ec829a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e3c37f869b830d1cf1ec829a', 'width': 160}]",Florence + The Machine,73,artist,spotify:artist:1moxjboGR7GNWYIMWsRjgG
{'spotify': 'https://open.spotify.com/artist/6dJeKm76NjfXBNTpHmOhfO'},"{'href': None, 'total': 9469507}",['pop'],https://api.spotify.com/v1/artists/6dJeKm76NjfXBNTpHmOhfO,6dJeKm76NjfXBNTpHmOhfO,"[{'height': 1333, 'url': 'https://i.scdn.co/image/469b6a74f5ddca9560e9f5137842e3772c8576c0', 'width': 1000}, {'height': 853, 'url': 'https://i.scdn.co/image/e732af47c9b0c55a56a2eb9dc554928212f344bb', 'width': 640}, {'height': 267, 'url': 'https://i.scdn.co/image/b73fec33c90639d9586681afffcf6773d48a8103', 'width': 200}, {'height': 85, 'url': 'https://i.scdn.co/image/ed02316da670954a09d1283204724e7987408611', 'width': 64}]",Selena Gomez & The Scene,66,artist,spotify:artist:6dJeKm76NjfXBNTpHmOhfO
{'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'},"{'href': None, 'total': 74910133}","['canadian pop', 'pop']",https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748ae7f2aaa9817a704a87ea36', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788ae7f2aaa9817a704a87ea36', 'width': 160}]",Justin Bieber,87,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s
