external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/6vytZ677lz4LzCrUDcDokM'},"{'href': None, 'total': 259281}","['hip pop', 'urban contemporary']",https://api.spotify.com/v1/artists/6vytZ677lz4LzCrUDcDokM,6vytZ677lz4LzCrUDcDokM,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb28831abca4b27c9f46416eb1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517428831abca4b27c9f46416eb1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17828831abca4b27c9f46416eb1', 'width': 160}]",Blu Cantrell,55,artist,spotify:artist:6vytZ677lz4LzCrUDcDokM
{'spotify': 'https://open.spotify.com/artist/2cBh5lVMg222FFuRU7EfDE'},"{'href': None, 'total': 408410}","['dance pop', 'europop', 'new wave pop']",https://api.spotify.com/v1/artists/2cBh5lVMg222FFuRU7EfDE,2cBh5lVMg222FFuRU7EfDE,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb87e2b47c63f702b3ac5c0686', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517487e2b47c63f702b3ac5c0686', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17887e2b47c63f702b3ac5c0686', 'width': 160}]",Sophie Ellis-Bextor,57,artist,spotify:artist:2cBh5lVMg222FFuRU7EfDE
{'spotify': 'https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH'},"{'href': None, 'total': 13999813}","['album rock', 'classic rock', 'hard rock', 'rock']",https://api.spotify.com/v1/artists/7Ey4PD4MYsKc5I2dolUwbH,7Ey4PD4MYsKc5I2dolUwbH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc5733401b4689b2064458e7d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c5733401b4689b2064458e7d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c5733401b4689b2064458e7d', 'width': 160}]",Aerosmith,73,artist,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH
{'spotify': 'https://open.spotify.com/artist/0qT79UgT5tY4yudH9VfsdT'},"{'href': None, 'total': 3719569}","['alternative metal', 'canadian pop punk', 'canadian punk', 'modern rock', 'pop punk', 'post-grunge', 'punk', 'rock']",https://api.spotify.com/v1/artists/0qT79UgT5tY4yudH9VfsdT,0qT79UgT5tY4yudH9VfsdT,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9af74b88c7db1500a52e4774', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749af74b88c7db1500a52e4774', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789af74b88c7db1500a52e4774', 'width': 160}]",Sum 41,69,artist,spotify:artist:0qT79UgT5tY4yudH9VfsdT
{'spotify': 'https://open.spotify.com/artist/5orH1OWgjAYUX8sZ5gihTv'},"{'href': None, 'total': 194881}","['bubblegum dance', 'europop', 'talent show']",https://api.spotify.com/v1/artists/5orH1OWgjAYUX8sZ5gihTv,5orH1OWgjAYUX8sZ5gihTv,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9d484564c8a6ccd35ff4a457', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749d484564c8a6ccd35ff4a457', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789d484564c8a6ccd35ff4a457', 'width': 160}]",Geri Halliwell,42,artist,spotify:artist:5orH1OWgjAYUX8sZ5gihTv
{'spotify': 'https://open.spotify.com/artist/3Ayl7mCk0nScecqOzvNp6s'},"{'href': None, 'total': 1483196}","['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",https://api.spotify.com/v1/artists/3Ayl7mCk0nScecqOzvNp6s,3Ayl7mCk0nScecqOzvNp6s,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0dc33cfd207772f8e2f6b46f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740dc33cfd207772f8e2f6b46f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780dc33cfd207772f8e2f6b46f', 'width': 160}]",Jimmy Eat World,65,artist,spotify:artist:3Ayl7mCk0nScecqOzvNp6s
{'spotify': 'https://open.spotify.com/artist/4uN3DsfENc7dp0OLO0FEIb'},"{'href': None, 'total': 940229}","['alternative metal', 'funk metal', 'pop rock', 'post-grunge']",https://api.spotify.com/v1/artists/4uN3DsfENc7dp0OLO0FEIb,4uN3DsfENc7dp0OLO0FEIb,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebff43c5735517a662439d0afe', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ff43c5735517a662439d0afe', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ff43c5735517a662439d0afe', 'width': 160}]",Sugar Ray,56,artist,spotify:artist:4uN3DsfENc7dp0OLO0FEIb
{'spotify': 'https://open.spotify.com/artist/5EvFsr3kj42KNv97ZEnqij'},"{'href': None, 'total': 2086503}","['pop rap', 'reggae fusion']",https://api.spotify.com/v1/artists/5EvFsr3kj42KNv97ZEnqij,5EvFsr3kj42KNv97ZEnqij,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb356dc7e9ba8792cb86a0c50c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174356dc7e9ba8792cb86a0c50c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178356dc7e9ba8792cb86a0c50c', 'width': 160}]",Shaggy,70,artist,spotify:artist:5EvFsr3kj42KNv97ZEnqij
{'spotify': 'https://open.spotify.com/artist/3jOstUTkEu2JkjvRdBA5Gu'},"{'href': None, 'total': 3283543}","['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",https://api.spotify.com/v1/artists/3jOstUTkEu2JkjvRdBA5Gu,3jOstUTkEu2JkjvRdBA5Gu,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcff30a7278638dfd7e2726a9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cff30a7278638dfd7e2726a9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cff30a7278638dfd7e2726a9', 'width': 160}]",Weezer,70,artist,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu
{'spotify': 'https://open.spotify.com/artist/5aEWnrN8h3MhuFUPRfaVuy'},"{'href': None, 'total': 890244}","['contemporary r&b', 'r&b']",https://api.spotify.com/v1/artists/5aEWnrN8h3MhuFUPRfaVuy,5aEWnrN8h3MhuFUPRfaVuy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1c5bbf90b6a8b983d3ea2ebc', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741c5bbf90b6a8b983d3ea2ebc', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781c5bbf90b6a8b983d3ea2ebc', 'width': 160}]",Case,52,artist,spotify:artist:5aEWnrN8h3MhuFUPRfaVuy
