external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj'},"{'href': None, 'total': 8469833}","['dance pop', 'pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,21E3waRsmPlU7jZsS13rcj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ca118e3822061f7b7f6bc537', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ca118e3822061f7b7f6bc537', 'width': 160}]",Ne-Yo,77,artist,spotify:artist:21E3waRsmPlU7jZsS13rcj
{'spotify': 'https://open.spotify.com/artist/26T3LtbuGT1Fu9m0eRq5X3'},"{'href': None, 'total': 3465492}","['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",https://api.spotify.com/v1/artists/26T3LtbuGT1Fu9m0eRq5X3,26T3LtbuGT1Fu9m0eRq5X3,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7d994f7e137c10249de19455', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747d994f7e137c10249de19455', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787d994f7e137c10249de19455', 'width': 160}]",Cage The Elephant,71,artist,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3
{'spotify': 'https://open.spotify.com/artist/1W3FSF1BLpY3hlVIgvenLz'},"{'href': None, 'total': 1280932}","['dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",https://api.spotify.com/v1/artists/1W3FSF1BLpY3hlVIgvenLz,1W3FSF1BLpY3hlVIgvenLz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba01ad0bea0957a2e3b7c3ced', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a01ad0bea0957a2e3b7c3ced', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a01ad0bea0957a2e3b7c3ced', 'width': 160}]",The-Dream,61,artist,spotify:artist:1W3FSF1BLpY3hlVIgvenLz
{'spotify': 'https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865'},"{'href': None, 'total': 14302786}","['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",https://api.spotify.com/v1/artists/55Aa2cqylxrFIXC767Z865,55Aa2cqylxrFIXC767Z865,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc1c08e541eae3cc82c6988c4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c1c08e541eae3cc82c6988c4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c1c08e541eae3cc82c6988c4', 'width': 160}]",Lil Wayne,84,artist,spotify:artist:55Aa2cqylxrFIXC767Z865
{'spotify': 'https://open.spotify.com/artist/7fObcBw9VM3x7ntWKCYl0z'},"{'href': None, 'total': 156776}",[],https://api.spotify.com/v1/artists/7fObcBw9VM3x7ntWKCYl0z,7fObcBw9VM3x7ntWKCYl0z,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb2c44e078944196a8c1eec256', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051742c44e078944196a8c1eec256', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1782c44e078944196a8c1eec256', 'width': 160}]",Colby O'Donis,64,artist,spotify:artist:7fObcBw9VM3x7ntWKCYl0z
{'spotify': 'https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz'},"{'href': None, 'total': 24879247}","['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz,6XyY86QOPPrYVGvF9ch6wz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb811da3b2e7c9e5a9c1a6c4f7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174811da3b2e7c9e5a9c1a6c4f7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178811da3b2e7c9e5a9c1a6c4f7', 'width': 160}]",Linkin Park,83,artist,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
{'spotify': 'https://open.spotify.com/artist/01QTIT5P1pFP3QnnFSdsJf'},"{'href': None, 'total': 1892979}","['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']",https://api.spotify.com/v1/artists/01QTIT5P1pFP3QnnFSdsJf,01QTIT5P1pFP3QnnFSdsJf,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb17e0a43f3aaa0c48410c4b68', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517417e0a43f3aaa0c48410c4b68', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17817e0a43f3aaa0c48410c4b68', 'width': 160}]",Lupe Fiasco,64,artist,spotify:artist:01QTIT5P1pFP3QnnFSdsJf
{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},"{'href': None, 'total': 22359635}","['chicago rap', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,5K4W6rqBFWDnAN6FQUkS6x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174867008a971fae0f4d913f63a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178867008a971fae0f4d913f63a', 'width': 160}]",Kanye West,89,artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
{'spotify': 'https://open.spotify.com/artist/0SwO7SWeDHJijQ3XNS7xEE'},"{'href': None, 'total': 2912983}","['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",https://api.spotify.com/v1/artists/0SwO7SWeDHJijQ3XNS7xEE,0SwO7SWeDHJijQ3XNS7xEE,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9dccdc8f4087cbe2bdedc9d3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749dccdc8f4087cbe2bdedc9d3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789dccdc8f4087cbe2bdedc9d3', 'width': 160}]",MGMT,71,artist,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE
{'spotify': 'https://open.spotify.com/artist/1mHuZMOP8FG5ip4yAb1vrB'},"{'href': None, 'total': 209908}",['reggae fusion'],https://api.spotify.com/v1/artists/1mHuZMOP8FG5ip4yAb1vrB,1mHuZMOP8FG5ip4yAb1vrB,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb98d2270897c7444955c74c60', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517498d2270897c7444955c74c60', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17898d2270897c7444955c74c60', 'width': 160}]",Michael Franti & Spearhead,53,artist,spotify:artist:1mHuZMOP8FG5ip4yAb1vrB
