id,name,images,added_date,release_date,url,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0ARK753YaiJbpLUk7z5yIM,Dilemma,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a8b9f97b9ea065b9a857e93f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a8b9f97b9ea065b9a857e93f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a8b9f97b9ea065b9a857e93f', 'width': 64}]",2021-12-10T23:00:00Z,2002-06-25,https://open.spotify.com/track/0ARK753YaiJbpLUk7z5yIM,2gBjLmx6zQnFGQJCAQpRgw,81,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,audio_features,spotify:track:0ARK753YaiJbpLUk7z5yIM,https://api.spotify.com/v1/tracks/0ARK753YaiJbpLUk7z5yIM,https://api.spotify.com/v1/audio-analysis/0ARK753YaiJbpLUk7z5yIM,289160,4
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026ca5c90113b30c3c43ffb8f4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516ca5c90113b30c3c43ffb8f4', 'width': 64}]",2021-12-10T23:00:00Z,2002-05-26,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,7dGJo4pcD2V6oG8kP0tJRR,90,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4
5xEM5hIgJ1jjgcEBfpkt2F,Complicated,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f7ec724fbf97a30869d06240', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f7ec724fbf97a30869d06240', 'width': 64}]",2021-12-10T23:00:00Z,2002-06-04,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F,0p4nmQO2msCgU4IF37Wi3j,82,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,audio_features,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,https://api.spotify.com/v1/tracks/5xEM5hIgJ1jjgcEBfpkt2F,https://api.spotify.com/v1/audio-analysis/5xEM5hIgJ1jjgcEBfpkt2F,244507,4
4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bc3ada3a19bb4e657f10917e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bc3ada3a19bb4e657f10917e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bc3ada3a19bb4e657f10917e', 'width': 64}]",2021-12-10T23:00:00Z,2002-04-30,https://open.spotify.com/track/4w1lzcaoZ1IC2K5TwjalRP,5ILrArfIV0tMURcHJN8Q07,79,0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,audio_features,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/tracks/4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/audio-analysis/4w1lzcaoZ1IC2K5TwjalRP,237493,4
5QpaGzWp0hwB5faV8dkbAz,Wherever You Will Go,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4cd26d38c6f0661a363bc65', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4cd26d38c6f0661a363bc65', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4cd26d38c6f0661a363bc65', 'width': 64}]",2021-12-10T23:00:00Z,2001,https://open.spotify.com/track/5QpaGzWp0hwB5faV8dkbAz,5aMmmNxw4vgpc5XC6hK0zp,77,0.558,0.719,2,-5.113,1,0.0267,0.0367,0.0,0.115,0.371,112.027,audio_features,spotify:track:5QpaGzWp0hwB5faV8dkbAz,https://api.spotify.com/v1/tracks/5QpaGzWp0hwB5faV8dkbAz,https://api.spotify.com/v1/audio-analysis/5QpaGzWp0hwB5faV8dkbAz,208600,4
15f8Cv8RXUlOOCIf2oaceN,Underneath Your Clothes,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731f400a1f4d821b00824cf58f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021f400a1f4d821b00824cf58f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511f400a1f4d821b00824cf58f', 'width': 64}]",2021-12-10T23:00:00Z,2001-11-13,https://open.spotify.com/track/15f8Cv8RXUlOOCIf2oaceN,0EmeFodog0BfCgMzAIvKQp,67,0.616,0.597,8,-5.328,1,0.0415,0.691,0.0,0.104,0.362,165.508,audio_features,spotify:track:15f8Cv8RXUlOOCIf2oaceN,https://api.spotify.com/v1/tracks/15f8Cv8RXUlOOCIf2oaceN,https://api.spotify.com/v1/audio-analysis/15f8Cv8RXUlOOCIf2oaceN,224067,4
6fR6Z0Vc1K6yQWNUIKjAIR,Underneath It All,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27374d6d9af056634cb96a6f5ac', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0274d6d9af056634cb96a6f5ac', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485174d6d9af056634cb96a6f5ac', 'width': 64}]",2021-12-10T23:00:00Z,2001-12-11,https://open.spotify.com/track/6fR6Z0Vc1K6yQWNUIKjAIR,0cQbJU1aAzvbEmTuljWLlF,64,0.729,0.731,4,-4.823,1,0.0682,0.235,1.35e-06,0.391,0.838,138.204,audio_features,spotify:track:6fR6Z0Vc1K6yQWNUIKjAIR,https://api.spotify.com/v1/tracks/6fR6Z0Vc1K6yQWNUIKjAIR,https://api.spotify.com/v1/audio-analysis/6fR6Z0Vc1K6yQWNUIKjAIR,302720,4
60a0Rd6pjrkxjPbaKzXjfq,In the End,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e2f039481babe23658fc719a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e2f039481babe23658fc719a', 'width': 64}]",2021-12-10T23:00:00Z,2000-10-24,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,6XyY86QOPPrYVGvF9ch6wz,89,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,audio_features,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880,4
75JFxkI2RXiU7L9VXzMkle,The Scientist,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02de09e02aa7febf30b7c02d82', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851de09e02aa7febf30b7c02d82', 'width': 64}]",2021-12-10T23:00:00Z,2002-08-08,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,4gzpq5DPGxSnKTe4SA8HAU,87,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,audio_features,spotify:track:75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,309600,4
4xkOaSrkexMciUUogZKVTS,Till I Collapse,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026ca5c90113b30c3c43ffb8f4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516ca5c90113b30c3c43ffb8f4', 'width': 64}]",2021-12-10T23:00:00Z,2002-05-26,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS,7dGJo4pcD2V6oG8kP0tJRR,86,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,audio_features,spotify:track:4xkOaSrkexMciUUogZKVTS,https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS,https://api.spotify.com/v1/audio-analysis/4xkOaSrkexMciUUogZKVTS,297787,4
