id,name,images,added_date,release_date,url,artist,popularity,error
7qiZfU4dY1lWllzX7mPBI3,Shape of You,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ba5db46f4b838ef6027e6f96', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96', 'width': 64}]",2022-05-11T23:00:00Z,2017-03-03,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,6eUKZXaKkcviH0Ku9w2n3V,88,{'status': 429}
0pqnGHJpmpxLKifKRmU6WP,Believer,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025675e83f707f1d7271e5cf8a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a', 'width': 64}]",2022-05-11T23:00:00Z,2017-06-23,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,53XhwfbYqKCa1cC15pYq2q,89,{'status': 429}
6habFhsOp2NvshLv26DqMb,Despacito,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ef0d4234e1a645740f77d59c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ef0d4234e1a645740f77d59c', 'width': 64}]",2022-05-11T23:00:00Z,2019-02-01,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,4V8Sr092TqfHkfAA5fXXqG,81,{'status': 429}
1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273748388a726648841ed81027e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02748388a726648841ed81027e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851748388a726648841ed81027e', 'width': 64}]",2022-05-11T23:00:00Z,2017-05-12,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,6TIYQ3jFPwQSRmorSezPxX,73,{'status': 429}
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731431c3bdf16aa99f71799d95', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021431c3bdf16aa99f71799d95', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511431c3bdf16aa99f71799d95', 'width': 64}]",2022-05-11T23:00:00Z,2016-10-21,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,6MDME20pz9RveH9rEXvrOM,76,{'status': 429}
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026eb0b9e73adcf04e4ed3eca4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516eb0b9e73adcf04e4ed3eca4', 'width': 64}]",2022-05-11T23:00:00Z,2018-01-12,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,4nDoRrQiYLoBzwC5BhVJzF,81,{'status': 429}
1zB4vmk8tFRmM9UULNzbLB,Thunder,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025675e83f707f1d7271e5cf8a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a', 'width': 64}]",2022-05-11T23:00:00Z,2017-06-23,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,53XhwfbYqKCa1cC15pYq2q,87,{'status': 429}
1nueTG77MzNkJTKQ0ZdGzT,Don't Wanna Know (feat. Kendrick Lamar),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fc4852898bc6ed85b3e3f89c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02fc4852898bc6ed85b3e3f89c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851fc4852898bc6ed85b3e3f89c', 'width': 64}]",2022-05-11T23:00:00Z,2018-06-15,https://open.spotify.com/track/1nueTG77MzNkJTKQ0ZdGzT,04gDigrS5kc9YWfZHwBETP,64,{'status': 429}
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020c13d3d5a503c84fcc60ae94', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510c13d3d5a503c84fcc60ae94', 'width': 64}]",2022-05-11T23:00:00Z,2017-04-07,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,69GGBxA162lTqCwzJG5jLp,88,{'status': 429}
0tgVpDi06FyKpA1z0VMD4v,Perfect,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ba5db46f4b838ef6027e6f96', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96', 'width': 64}]",2022-05-11T23:00:00Z,2017-03-03,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,6eUKZXaKkcviH0Ku9w2n3V,89,{'status': 429}
