id,name,images,added_date,release_date,url,artist,popularity,error
3rUGC1vUpkDG9CZFHMur1t,greedy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0222fd802bc61db666c7c81aa8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485122fd802bc61db666c7c81aa8', 'width': 64}]",2023-09-23T12:10:28Z,2023-09-15,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t,45dkTj5sMRSjrmBSBeiHym,100,{'status': 429}
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bf5cce5a0e1ed03a626bdd74', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bf5cce5a0e1ed03a626bdd74', 'width': 64}]",2023-07-22T08:47:15Z,2023-07-14,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,6HaGTQPmzraVmaVxvz6EUc,93,{'status': 429}
4xhsWYTOGcal8zt0J161CU,Lovin On Me,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02fcf4adae77baba5d0169e8e8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851fcf4adae77baba5d0169e8e8', 'width': 64}]",2023-11-18T11:11:43Z,2023-11-10,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU,2LIk90788K0zvyj2JJVwkJ,95,{'status': 429}
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737acee948ecac8380c1b6ce30', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027acee948ecac8380c1b6ce30', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517acee948ecac8380c1b6ce30', 'width': 64}]",2023-08-19T09:40:00Z,2023-08-04,https://open.spotify.com/track/2IGMVunIBsBLtEQyoI1Mu7,5cj0lLjcoR7YOSnhnX0Po5,95,{'status': 429}
59NraMJsLaMCVtwXTSia8i,Prada,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e4b7dccdfd54375ded9ccc5c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e4b7dccdfd54375ded9ccc5c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e4b7dccdfd54375ded9ccc5c', 'width': 64}]",2023-08-26T09:02:05Z,2023-08-11,https://open.spotify.com/track/59NraMJsLaMCVtwXTSia8i,5wCmhq5J2hPwL2r0eKurxn,94,{'status': 429}
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0234f21d3047d85440dfa37f10', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485134f21d3047d85440dfa37f10', 'width': 64}]",2023-10-07T08:22:20Z,2023-09-15,https://open.spotify.com/track/3vkCueOmm7xQDoJ17W1Pm3,2uYWxilOVlUdk4oV9DvwqK,98,{'status': 429}
1Fav4xZn60uGM3XmiHJmvT,One Of Your Girls,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732b649a538f3067964d7355b4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022b649a538f3067964d7355b4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512b649a538f3067964d7355b4', 'width': 64}]",2023-10-21T09:53:31Z,2023-10-13,https://open.spotify.com/track/1Fav4xZn60uGM3XmiHJmvT,3WGpXCj9YhhfX11TToZcXP,79,{'status': 429}
5aIVCx5tnk0ntmdiinnYvw,Water,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d20231861e86a6f74ef2393e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d20231861e86a6f74ef2393e', 'width': 64}]",2023-10-21T09:53:31Z,2023-07-28,https://open.spotify.com/track/5aIVCx5tnk0ntmdiinnYvw,3SozjO3Lat463tQICI9LcE,95,{'status': 429}
5mjYQaktjmjcMKcUIcqz4s,Strangers,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024756c2e9ae436437cd75e9f3', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514756c2e9ae436437cd75e9f3', 'width': 64}]",2023-09-08T17:06:06Z,2023-09-01,https://open.spotify.com/track/5mjYQaktjmjcMKcUIcqz4s,7uMDnSZyUYNBPLhPMNuaM2,97,{'status': 429}
4OMJGnvZfDvsePyCwRGO7X,Houdini,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273001d5706fddc72561f6488af', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02001d5706fddc72561f6488af', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851001d5706fddc72561f6488af', 'width': 64}]",2023-11-11T09:06:58Z,2023-11-09,https://open.spotify.com/track/4OMJGnvZfDvsePyCwRGO7X,6M2wZ9GZgrQXHCFfjv46we,93,{'status': 429}
5rurggqwwudn9clMdcchxT,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026ed9aef791159496b286179f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516ed9aef791159496b286179f', 'width': 64}]",2023-06-10T08:28:37Z,2023-06-02,https://open.spotify.com/track/5rurggqwwudn9clMdcchxT,0iEtIxbK0KxaSlF7G42ZOp,81,{'status': 429}
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02904445d70d04eb24d6bb79ac', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851904445d70d04eb24d6bb79ac', 'width': 64}]",2023-11-03T18:57:36Z,2023-10-26,https://open.spotify.com/track/1Iq8oo9XkmmvCQiGOfORiz,06HL4z0CvFAxyc27GXpf02,94,{'status': 429}
0sPs2Nm4rPaM79v3IiG2iY,Dance With Me,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a13bad1442d079bbab12ffc8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a13bad1442d079bbab12ffc8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a13bad1442d079bbab12ffc8', 'width': 64}]",2023-10-21T09:53:31Z,2023-10-20,https://open.spotify.com/track/0sPs2Nm4rPaM79v3IiG2iY,619CzMJPPWrCeZwx5qw6ko,57,{'status': 429}
6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02409a2d7bd4b2238e4aaa7bf5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851409a2d7bd4b2238e4aaa7bf5', 'width': 64}]",2023-09-30T09:33:40Z,2023-09-29,https://open.spotify.com/track/6ehWdR7cGDXnT7aKEASJxE,6HaGTQPmzraVmaVxvz6EUc,91,{'status': 429}
3k79jB4aGmMDUQzEwa46Rz,vampire,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731e5e75dc1d878a0007cb6525', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021e5e75dc1d878a0007cb6525', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511e5e75dc1d878a0007cb6525', 'width': 64}]",2023-07-01T09:36:38Z,2023-06-30,https://open.spotify.com/track/3k79jB4aGmMDUQzEwa46Rz,1McMsnEElThX1knmY4oliG,68,{'status': 429}
4rXLjWdF2ZZpXCVTfWcshS,fukumean,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02017d5e26552345c4b1575b6c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851017d5e26552345c4b1575b6c', 'width': 64}]",2023-09-08T17:06:06Z,2023-06-16,https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS,2hlmm7s2ICUX0LVIhVFlZQ,93,{'status': 429}
6iIfv3VOMLsX9Y7edcf9ly,Love To Me,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c8562578407c109fb15430ef', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c8562578407c109fb15430ef', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c8562578407c109fb15430ef', 'width': 64}]",2023-10-21T09:53:31Z,2023-10-20,https://open.spotify.com/track/6iIfv3VOMLsX9Y7edcf9ly,44aoeFCBHXcE6v9hM7dBcl,50,{'status': 429}
1odExI7RdWc4BT515LTAwj,Daylight,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0295ca6a9b4083a86c149934ae', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485195ca6a9b4083a86c149934ae', 'width': 64}]",2023-04-22T08:18:24Z,2023-04-14,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj,33NVpKoXjItPwUJTMZIOiY,94,{'status': 429}
