id,name,images,added_date,release_date,url,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273382514f0114ba8f4a16d5db4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02382514f0114ba8f4a16d5db4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851382514f0114ba8f4a16d5db4', 'width': 64}]",2020-08-07T08:24:02Z,2009-01-01,https://open.spotify.com/track/2H1047e0oMSj10dgp7p2VG,1yxSLGMDHlW21z4YXirZDS,77,0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,audio_features,spotify:track:2H1047e0oMSj10dgp7p2VG,https://api.spotify.com/v1/tracks/2H1047e0oMSj10dgp7p2VG,https://api.spotify.com/v1/audio-analysis/2H1047e0oMSj10dgp7p2VG,289133,4
5R8dQOPq8haW94K7mgERlO,Poker Face,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273631810af03785dbad83f5c81', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02631810af03785dbad83f5c81', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851631810af03785dbad83f5c81', 'width': 64}]",2020-08-07T08:24:02Z,2008-01-01,https://open.spotify.com/track/5R8dQOPq8haW94K7mgERlO,1HY2Jd0NmPuamShAr6KMms,79,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,audio_features,spotify:track:5R8dQOPq8haW94K7mgERlO,https://api.spotify.com/v1/tracks/5R8dQOPq8haW94K7mgERlO,https://api.spotify.com/v1/audio-analysis/5R8dQOPq8haW94K7mgERlO,237200,4
4JehYebiI9JE8sR8MisGVb,Halo,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273801c4d205accdba0a468a10b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02801c4d205accdba0a468a10b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851801c4d205accdba0a468a10b', 'width': 64}]",2020-08-07T08:24:02Z,2008-11-17,https://open.spotify.com/track/4JehYebiI9JE8sR8MisGVb,6vWDO969PvNqNYHIOW5v0m,77,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,audio_features,spotify:track:4JehYebiI9JE8sR8MisGVb,https://api.spotify.com/v1/tracks/4JehYebiI9JE8sR8MisGVb,https://api.spotify.com/v1/audio-analysis/4JehYebiI9JE8sR8MisGVb,261640,4
0uXO2GrNiIb1xHT9LUdxZE,Sexy Bitch (feat. Akon),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e43ed3850e072831f7b2c6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b2e43ed3850e072831f7b2c6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b2e43ed3850e072831f7b2c6', 'width': 64}]",2020-08-07T08:24:02Z,2009-08-21,https://open.spotify.com/track/0uXO2GrNiIb1xHT9LUdxZE,1Cs0zKBU1kc0i8ypK3B9ai,68,0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,audio_features,spotify:track:0uXO2GrNiIb1xHT9LUdxZE,https://api.spotify.com/v1/tracks/0uXO2GrNiIb1xHT9LUdxZE,https://api.spotify.com/v1/audio-analysis/0uXO2GrNiIb1xHT9LUdxZE,195853,4
3GpbwCm3YxiWDvy29Uo3vP,Right Round,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27318aa5d7e6d484b832cd5d03f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0218aa5d7e6d484b832cd5d03f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485118aa5d7e6d484b832cd5d03f', 'width': 64}]",2020-08-07T08:24:02Z,2009-03-30,https://open.spotify.com/track/3GpbwCm3YxiWDvy29Uo3vP,0jnsk9HBra6NMjO2oANoPY,78,0.72,0.672,7,-6.852,1,0.0551,0.009,0.0,0.232,0.705,124.986,audio_features,spotify:track:3GpbwCm3YxiWDvy29Uo3vP,https://api.spotify.com/v1/tracks/3GpbwCm3YxiWDvy29Uo3vP,https://api.spotify.com/v1/audio-analysis/3GpbwCm3YxiWDvy29Uo3vP,204640,4
1D4PL9B8gOg78jiHg3FvBb,Love Story,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27360cb9332e8c8c7d8e50854b3', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0260cb9332e8c8c7d8e50854b3', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485160cb9332e8c8c7d8e50854b3', 'width': 64}]",2020-08-07T08:24:02Z,2008-11-11,https://open.spotify.com/track/1D4PL9B8gOg78jiHg3FvBb,06HL4z0CvFAxyc27GXpf02,80,0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,audio_features,spotify:track:1D4PL9B8gOg78jiHg3FvBb,https://api.spotify.com/v1/tracks/1D4PL9B8gOg78jiHg3FvBb,https://api.spotify.com/v1/audio-analysis/1D4PL9B8gOg78jiHg3FvBb,236267,4
4EWCNWgDS8707fNSZ1oaA5,Heartless,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02346d77e155d854735410ed18', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851346d77e155d854735410ed18', 'width': 64}]",2020-08-07T08:24:02Z,2008-11-24,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,5K4W6rqBFWDnAN6FQUkS6x,89,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,audio_features,spotify:track:4EWCNWgDS8707fNSZ1oaA5,https://api.spotify.com/v1/tracks/4EWCNWgDS8707fNSZ1oaA5,https://api.spotify.com/v1/audio-analysis/4EWCNWgDS8707fNSZ1oaA5,211000,4
2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fec1b815bb3c50a64a90fd10', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02fec1b815bb3c50a64a90fd10', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851fec1b815bb3c50a64a90fd10', 'width': 64}]",2020-08-07T08:24:02Z,2009-09-08,https://open.spotify.com/track/2igwFfvr1OAGX9SKDCPBwO,3nFkdlSjzX9mRTtwJOzDYB,85,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,audio_features,spotify:track:2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/tracks/2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/audio-analysis/2igwFfvr1OAGX9SKDCPBwO,276920,4
0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022519d01c0cca06f134eeadd8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512519d01c0cca06f134eeadd8', 'width': 64}]",2020-08-07T08:24:02Z,2008-09-23,https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45,2qk9voo8llSGYcZ6xrBzKx,84,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,audio_features,spotify:track:0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/tracks/0ntQJM78wzOLVeCUAW7Y45,https://api.spotify.com/v1/audio-analysis/0ntQJM78wzOLVeCUAW7Y45,203347,4
5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f3aa0e6ca22a382007f61e4d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f3aa0e6ca22a382007f61e4d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f3aa0e6ca22a382007f61e4d', 'width': 64}]",2020-08-07T08:24:02Z,2008-10-03,https://open.spotify.com/track/5r5cp9IpziiIsR6b93vcnQ,67hb7towEyKvt5Z8Bx306c,81,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,audio_features,spotify:track:5r5cp9IpziiIsR6b93vcnQ,https://api.spotify.com/v1/tracks/5r5cp9IpziiIsR6b93vcnQ,https://api.spotify.com/v1/audio-analysis/5r5cp9IpziiIsR6b93vcnQ,198440,4
