id,name,images,added_date,release_date,url,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
4RY96Asd9IefaL3X4LOLZ8,In Da Club,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f7f74100d5cc850e01172cbf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f7f74100d5cc850e01172cbf', 'width': 64}]",2020-08-07T08:19:40Z,2003-02-06,https://open.spotify.com/track/4RY96Asd9IefaL3X4LOLZ8,3q7HBObVc0L8jNeTe5Gofh,76,0.902,0.72,6,-2.776,0,0.347,0.26,0.0,0.0749,0.805,90.059,audio_features,spotify:track:4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/tracks/4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/audio-analysis/4RY96Asd9IefaL3X4LOLZ8,193467,4
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a69f71a8794e2d867a52f98f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a69f71a8794e2d867a52f98f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a69f71a8794e2d867a52f98f', 'width': 64}]",2020-08-07T08:19:40Z,2003-04-01,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,4F84IBURUo98rz4r61KF70,86,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,audio_features,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR,232107,4
5Z01UMMf7V1o0MzF86s6WJ,Lose Yourself,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273eab40fc794b88b9d1e012578', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02eab40fc794b88b9d1e012578', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851eab40fc794b88b9d1e012578', 'width': 64}]",2020-08-07T08:19:40Z,2005-12-06,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ,7dGJo4pcD2V6oG8kP0tJRR,80,0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,audio_features,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/audio-analysis/5Z01UMMf7V1o0MzF86s6WJ,326467,4
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345680a4a57c97894490a01c1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0245680a4a57c97894490a01c1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485145680a4a57c97894490a01c1', 'width': 64}]",2020-08-07T08:19:40Z,2003-06-24,https://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr,6vWDO969PvNqNYHIOW5v0m,80,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4
6bK9BH9Ts8Gj5JFvnQkzak,Get Busy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370a92ddbe10010f1c2f95da1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0270a92ddbe10010f1c2f95da1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485170a92ddbe10010f1c2f95da1', 'width': 64}]",2020-08-07T08:19:40Z,2022-11-11,https://open.spotify.com/track/6bK9BH9Ts8Gj5JFvnQkzak,3Isy6kedDrgPYoTS1dazA9,80,0.741,0.824,10,-4.143,0,0.0352,0.614,0.0,0.158,0.725,100.216,audio_features,spotify:track:6bK9BH9Ts8Gj5JFvnQkzak,https://api.spotify.com/v1/tracks/6bK9BH9Ts8Gj5JFvnQkzak,https://api.spotify.com/v1/audio-analysis/6bK9BH9Ts8Gj5JFvnQkzak,211666,4
0xmjwnQ3FNE6HuWCt2nHdZ,Where Is The Love?,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735db09bde92cc685403d7068f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025db09bde92cc685403d7068f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515db09bde92cc685403d7068f', 'width': 64}]",2020-08-07T08:19:40Z,2003-06-24,https://open.spotify.com/track/0xmjwnQ3FNE6HuWCt2nHdZ,1yxSLGMDHlW21z4YXirZDS,83,0.834,0.699,5,-3.222,1,0.178,0.111,0.0,0.131,0.809,94.086,audio_features,spotify:track:0xmjwnQ3FNE6HuWCt2nHdZ,https://api.spotify.com/v1/tracks/0xmjwnQ3FNE6HuWCt2nHdZ,https://api.spotify.com/v1/audio-analysis/0xmjwnQ3FNE6HuWCt2nHdZ,272533,4
0jiBVBJkLrlGLgrIVmd3VK,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d5cf73c1679244d959651dff', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d5cf73c1679244d959651dff', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d5cf73c1679244d959651dff', 'width': 64}]",2020-08-07T08:19:40Z,2002-09-26,https://open.spotify.com/track/0jiBVBJkLrlGLgrIVmd3VK,2DlGxzQSjYe5N6G9nkYghR,59,0.84,0.762,6,-5.454,1,0.226,0.00736,3.77e-06,0.0615,0.946,99.987,audio_features,spotify:track:0jiBVBJkLrlGLgrIVmd3VK,https://api.spotify.com/v1/tracks/0jiBVBJkLrlGLgrIVmd3VK,https://api.spotify.com/v1/audio-analysis/0jiBVBJkLrlGLgrIVmd3VK,189765,4
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0225f49ab23f0ec6332efef432', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485125f49ab23f0ec6332efef432', 'width': 64}]",2020-08-07T08:19:40Z,2003-03-04,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp,5nGIFgo0shDenQYSE0Sn7c,86,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,audio_features,spotify:track:0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/audio-analysis/0COqiPhxzoWICwFCS4eZcp,235893,4
0BCPKOYdS2jbQ8iyB56Zns,Clocks,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02de09e02aa7febf30b7c02d82', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851de09e02aa7febf30b7c02d82', 'width': 64}]",2020-08-07T08:19:40Z,2002-08-08,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns,4gzpq5DPGxSnKTe4SA8HAU,84,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,audio_features,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/tracks/0BCPKOYdS2jbQ8iyB56Zns,https://api.spotify.com/v1/audio-analysis/0BCPKOYdS2jbQ8iyB56Zns,307880,4
1AWQoqb9bSvzTjaLralEkT,Rock Your Body,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273346a5742374ab4cf9ed32dee', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02346a5742374ab4cf9ed32dee', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851346a5742374ab4cf9ed32dee', 'width': 64}]",2020-08-07T08:19:40Z,2002-11-04,https://open.spotify.com/track/1AWQoqb9bSvzTjaLralEkT,31TPClRtHm23RisEBtV3X7,82,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,audio_features,spotify:track:1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,267267,4
4Yf5bqU3NK4kNOypcrLYwU,Faint,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b4ad7ebaf4575f120eb3f193', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b4ad7ebaf4575f120eb3f193', 'width': 64}]",2020-08-07T08:19:40Z,2003-03-24,https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU,6XyY86QOPPrYVGvF9ch6wz,81,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,audio_features,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,https://api.spotify.com/v1/tracks/4Yf5bqU3NK4kNOypcrLYwU,https://api.spotify.com/v1/audio-analysis/4Yf5bqU3NK4kNOypcrLYwU,162600,4
3YuaBvuZqcwN3CEAyyoaei,Like a Stone,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a7292b6863258e889b78d787', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a7292b6863258e889b78d787', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a7292b6863258e889b78d787', 'width': 64}]",2020-08-07T08:19:40Z,2002-11-17,https://open.spotify.com/track/3YuaBvuZqcwN3CEAyyoaei,2ziB7fzrXBoh1HUPS6sVFn,80,0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849,audio_features,spotify:track:3YuaBvuZqcwN3CEAyyoaei,https://api.spotify.com/v1/tracks/3YuaBvuZqcwN3CEAyyoaei,https://api.spotify.com/v1/audio-analysis/3YuaBvuZqcwN3CEAyyoaei,293960,4
3CpoeW0cZSDzIRv5z34F87,Sing For The Moment,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026ca5c90113b30c3c43ffb8f4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516ca5c90113b30c3c43ffb8f4', 'width': 64}]",2020-08-07T08:19:40Z,2002-05-26,https://open.spotify.com/track/3CpoeW0cZSDzIRv5z34F87,7dGJo4pcD2V6oG8kP0tJRR,79,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,audio_features,spotify:track:3CpoeW0cZSDzIRv5z34F87,https://api.spotify.com/v1/tracks/3CpoeW0cZSDzIRv5z34F87,https://api.spotify.com/v1/audio-analysis/3CpoeW0cZSDzIRv5z34F87,339547,4
