id,name,images,added_date,release_date,url,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e419ccba0baa8bd3f3d7abf2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e419ccba0baa8bd3f3d7abf2', 'width': 64}]",2020-06-20T06:19:41Z,2015-01-12,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,3hv9jJF3adDNsBSIQDqcjp,85,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667,4
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0213b3e37318a0c247b550bccd', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485113b3e37318a0c247b550bccd', 'width': 64}]",2020-06-20T06:19:41Z,2014-06-21,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,6eUKZXaKkcviH0Ku9w2n3V,85,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560,4
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734e5df11b17b2727da2b718d8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024e5df11b17b2727da2b718d8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514e5df11b17b2727da2b718d8', 'width': 64}]",2020-06-20T06:19:41Z,2015,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc,137W8MRPWKqSmrBGDBFSop,85,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,audio_features,spotify:track:2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/tracks/2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/audio-analysis/2JzZzZUQj3Qff7wapcbKjc,229526,4
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f46b9d202509a8f7384b90de', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f46b9d202509a8f7384b90de', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f46b9d202509a8f7384b90de', 'width': 64}]",2020-06-20T06:19:41Z,2015-11-13,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs,1uNFoZAHBGtllmzznpCI3s,82,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,audio_features,spotify:track:4B0JvthVoAAuygILe3n4Bs,https://api.spotify.com/v1/tracks/4B0JvthVoAAuygILe3n4Bs,https://api.spotify.com/v1/audio-analysis/4B0JvthVoAAuygILe3n4Bs,205680,4
01aTsQoKoeXofSTvKuunzv,Lean On,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d6d24aee7b49a2db98a76856', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d6d24aee7b49a2db98a76856', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d6d24aee7b49a2db98a76856', 'width': 64}]",2020-06-20T06:19:41Z,2015-06-01,https://open.spotify.com/track/01aTsQoKoeXofSTvKuunzv,738wLrAtLtCtFOLvQBXOXp,70,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,audio_features,spotify:track:01aTsQoKoeXofSTvKuunzv,https://api.spotify.com/v1/tracks/01aTsQoKoeXofSTvKuunzv,https://api.spotify.com/v1/audio-analysis/01aTsQoKoeXofSTvKuunzv,176561,4
2PIvq1pGrUjY007X5y1UpM,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27364bd23d64f90b1910ead95a1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0264bd23d64f90b1910ead95a1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485164bd23d64f90b1910ead95a1', 'width': 64}]",2020-06-20T06:19:41Z,2014-12-23,https://open.spotify.com/track/2PIvq1pGrUjY007X5y1UpM,1Xyo4u8uXC1ZmMpatF05PJ,77,0.659,0.381,2,-5.922,0,0.0304,0.385,0.0,0.0972,0.426,119.844,audio_features,spotify:track:2PIvq1pGrUjY007X5y1UpM,https://api.spotify.com/v1/tracks/2PIvq1pGrUjY007X5y1UpM,https://api.spotify.com/v1/audio-analysis/2PIvq1pGrUjY007X5y1UpM,252227,3
3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""","[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736bdee14242f244d9d6ddf2fd', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026bdee14242f244d9d6ddf2fd', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516bdee14242f244d9d6ddf2fd', 'width': 64}]",2020-06-20T06:19:41Z,2015-11-06,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu,0X2BH1fck6amBIoJhDVmmJ,80,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,audio_features,spotify:track:3zHq9ouUJQFQRf3cm1rRLu,https://api.spotify.com/v1/tracks/3zHq9ouUJQFQRf3cm1rRLu,https://api.spotify.com/v1/audio-analysis/3zHq9ouUJQFQRf3cm1rRLu,252534,4
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02de03bfc2991fd5bcfde65ba3', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851de03bfc2991fd5bcfde65ba3', 'width': 64}]",2020-06-20T06:19:41Z,2015-05-15,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,3YQKmKGau1PzlVlkL1iodx,89,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,audio_features,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,202333,4
0ct6r3EGTcMLPtrXHDvVjc,The Nights,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020ae4f4d42e4a09f3a29f64ad', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510ae4f4d42e4a09f3a29f64ad', 'width': 64}]",2020-06-20T06:19:41Z,2014-01-01,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,1vCWHaC5f2uS3yhpwWbIA6,87,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,audio_features,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,176658,4
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e023066581d697fbdee4303d685', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048513066581d697fbdee4303d685', 'width': 64}]",2022-04-19T07:52:24Z,2015-10-30,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5,77SW9BnxLY8rJ0RciFqkHh,87,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,audio_features,spotify:track:5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/tracks/5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/audio-analysis/5E30LdtzQTGqRvNd7l6kG5,260173,4
