id,name,images,added_date,release_date,url,artist,popularity,error
7lPN2DXiMsVn7XUKtOW1CS,drivers license,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738ffc294c1c4362e8472d14cd', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028ffc294c1c4362e8472d14cd', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518ffc294c1c4362e8472d14cd', 'width': 64}]",2021-05-18T14:44:57Z,2021-01-08,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS,1McMsnEElThX1knmY4oliG,28,{'status': 429}
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c6af5ffa661a365b77df6ef6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c6af5ffa661a365b77df6ef6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c6af5ffa661a365b77df6ef6', 'width': 64}]",2021-05-18T14:45:46Z,2021-04-23,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy,1Xyo4u8uXC1ZmMpatF05PJ,83,{'status': 429}
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273664034dd80e91b28f773598d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02664034dd80e91b28f773598d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851664034dd80e91b28f773598d', 'width': 64}]",2021-05-18T14:45:13Z,2021-03-31,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,7jVv8c5Fj3E9VhNjxT4snq,75,{'status': 429}
3Wrjm47oTz2sjIgck11l5e,Beggin',"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fa0ab3a28b5c52d8a5f97045', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02fa0ab3a28b5c52d8a5f97045', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851fa0ab3a28b5c52d8a5f97045', 'width': 64}]",2021-07-21T22:37:11Z,2017-12-08,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,0lAWpj5szCSwM4rUMHYmrr,85,{'status': 429}
6PERP62TejQjgHu81OHxgM,good 4 u,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273670ec029374e082f921f9f74', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02670ec029374e082f921f9f74', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851670ec029374e082f921f9f74', 'width': 64}]",2021-05-18T14:57:24Z,2021-05-14,https://open.spotify.com/track/6PERP62TejQjgHu81OHxgM,1McMsnEElThX1knmY4oliG,23,{'status': 429}
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e6f407c7f3a0ec98845e4431', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e6f407c7f3a0ec98845e4431', 'width': 64}]",2021-05-18T14:45:20Z,2021-03-19,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,1uNFoZAHBGtllmzznpCI3s,83,{'status': 429}
7MAibcTli4IisCtbHKrGMh,Leave The Door Open,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736f9e6abbd6fa43ac3cdbeee0', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026f9e6abbd6fa43ac3cdbeee0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516f9e6abbd6fa43ac3cdbeee0', 'width': 64}]",2021-05-18T14:45:25Z,2021-03-05,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh,0du5cEVh5yTK9QJze8zA0C,21,{'status': 429}
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0250dba34377a595e35f81b0e4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485150dba34377a595e35f81b0e4', 'width': 64}]",2021-10-14T23:59:01Z,2021-10-14,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,4dpARuHxo51G3z768sgnrY,83,{'status': 429}
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733317fc12f8b9a9a0b8459766', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e023317fc12f8b9a9a0b8459766', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048513317fc12f8b9a9a0b8459766', 'width': 64}]",2021-05-18T14:46:25Z,2020-03-27,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,4fxd5Ee7UefO4CUXgwJ7IP,82,{'status': 429}
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0241e31d6ea1d493dd77933ee5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485141e31d6ea1d493dd77933ee5', 'width': 64}]",2021-07-15T13:37:41Z,2021-07-09,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,2tIP7SsRs7vjIcLrU85W8J,85,{'status': 429}
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022a038d3bf875d23e4aeaa84e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512a038d3bf875d23e4aeaa84e', 'width': 64}]",2021-10-04T12:30:50Z,2021-07-30,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8,6qqNVTkY8uBg9cP3Jd7DAH,87,{'status': 429}
61KpQadow081I2AsbeLcsb,deja vu,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735a61e19eaffec620c1899c47', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025a61e19eaffec620c1899c47', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515a61e19eaffec620c1899c47', 'width': 64}]",2021-05-18T14:46:36Z,2021-04-01,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb,1McMsnEElThX1knmY4oliG,15,{'status': 429}
