id,name,images,added_date,release_date,url,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,error
60a0Rd6pjrkxjPbaKzXjfq,In the End,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e2f039481babe23658fc719a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e2f039481babe23658fc719a', 'width': 64}]",2020-08-07T08:16:37Z,2000-10-24,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,6XyY86QOPPrYVGvF9ch6wz,89,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,audio_features,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880.0,4.0,
64BbK9SFKH2jk86U3dGj2P,Otherside,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0294d08ab63e57b0cae74e8595', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485194d08ab63e57b0cae74e8595', 'width': 64}]",2020-08-07T08:16:37Z,1999-06-08,https://open.spotify.com/track/64BbK9SFKH2jk86U3dGj2P,0L8ExT028jH3ddEcZwqJJ5,85,0.458,0.795,0.0,-3.265,1.0,0.0574,0.00316,0.000202,0.0756,0.513,123.229,audio_features,spotify:track:64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/tracks/64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/audio-analysis/64BbK9SFKH2jk86U3dGj2P,255373.0,4.0,
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022868c4713a3912fd476b42f1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512868c4713a3912fd476b42f1', 'width': 64}]",2020-08-07T08:16:37Z,2000,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,2RTUTCvo6onsAnheUk3aL9,82,0.545,0.865,11.0,-5.708,0.0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,audio_features,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933.0,4.0,
4LwU4Vp6od3Sb08CsP99GC,The Next Episode,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029b19c107109de740bad72df5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519b19c107109de740bad72df5', 'width': 64}]",2020-08-07T08:16:37Z,1999-11-16,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC,6DPYiyq5kWVQS4RGwxzPC7,82,0.922,0.909,10.0,-2.429,0.0,0.27,0.0281,0.0,0.0856,0.309,95.295,audio_features,spotify:track:4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507.0,4.0,
25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730a3740efa638f10f14fabc46', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e020a3740efa638f10f14fabc46', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048510a3740efa638f10f14fabc46', 'width': 64}]",2020-08-07T08:16:37Z,1999-02-15,https://open.spotify.com/track/25FTMokYEbEWHEdss5JLZS,4mYFgEjpQT4IKOrjOUKyXu,80,0.625,0.85,4.0,-3.904,1.0,0.0495,0.346,0.000233,0.174,0.633,94.661,audio_features,spotify:track:25FTMokYEbEWHEdss5JLZS,https://api.spotify.com/v1/tracks/25FTMokYEbEWHEdss5JLZS,https://api.spotify.com/v1/audio-analysis/25FTMokYEbEWHEdss5JLZS,241667.0,4.0,
49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27354c5c304064df85d61253ac7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0254c5c304064df85d61253ac7', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485154c5c304064df85d61253ac7', 'width': 64}]",2020-08-07T08:16:37Z,2001,https://open.spotify.com/track/49X0LAl6faAusYq02PRAY6,0AkpPlFLnr0VQwZQeMGht0,79,0.72,0.808,6.0,-5.627,1.0,0.0379,0.00793,0.0293,0.0634,0.869,126.041,audio_features,spotify:track:49X0LAl6faAusYq02PRAY6,https://api.spotify.com/v1/tracks/49X0LAl6faAusYq02PRAY6,https://api.spotify.com/v1/audio-analysis/49X0LAl6faAusYq02PRAY6,307154.0,4.0,
5XVjNRubJUW0iPhhSWpLCj,Better Off Alone,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738d897b8994ce008298200408', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028d897b8994ce008298200408', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518d897b8994ce008298200408', 'width': 64}]",2020-08-07T08:16:37Z,2000-10-01,https://open.spotify.com/track/5XVjNRubJUW0iPhhSWpLCj,2tbvDi9eXf9XXp06LupkED,78,0.671,0.882,8.0,-6.149,0.0,0.0552,0.00181,0.667,0.285,0.787,136.955,audio_features,spotify:track:5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/tracks/5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/audio-analysis/5XVjNRubJUW0iPhhSWpLCj,214883.0,4.0,
3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27347eb3ea5a92904c19e102e54', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0247eb3ea5a92904c19e102e54', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485147eb3ea5a92904c19e102e54', 'width': 64}]",2020-08-07T08:16:37Z,1999-06-15,https://open.spotify.com/track/3XKIUb7HzIF1Vu9usunMzc,6GI52t8N5F02MxU0g5U69P,77,0.777,0.601,2.0,-5.931,1.0,0.126,0.0406,0.00201,0.0348,0.68,97.911,audio_features,spotify:track:3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/tracks/3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/audio-analysis/3XKIUb7HzIF1Vu9usunMzc,261973.0,4.0,
7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029b19c107109de740bad72df5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519b19c107109de740bad72df5', 'width': 64}]",2020-08-07T08:16:37Z,1999-11-16,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa,6DPYiyq5kWVQS4RGwxzPC7,81,0.924,0.74,8.0,-1.299,1.0,0.0774,0.0827,0.0,0.163,0.621,133.974,audio_features,spotify:track:7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/tracks/7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/audio-analysis/7iXF2W9vKmDoGAhlHdpyIa,222293.0,4.0,
52LJ3hyknOijCrE5gCD0rE,L'Amour Toujours,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27395c70cc04573417548b47199', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0295c70cc04573417548b47199', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485195c70cc04573417548b47199', 'width': 64}]",2020-11-18T06:28:43Z,2001-05-23,https://open.spotify.com/track/52LJ3hyknOijCrE5gCD0rE,1OAjDaKgg00KCUYqDe68un,77,0.638,0.877,7.0,-4.449,1.0,0.0302,0.0771,0.0221,0.364,0.743,139.052,audio_features,spotify:track:52LJ3hyknOijCrE5gCD0rE,https://api.spotify.com/v1/tracks/52LJ3hyknOijCrE5gCD0rE,https://api.spotify.com/v1/audio-analysis/52LJ3hyknOijCrE5gCD0rE,242053.0,4.0,
